scorer,P1T2,P1T2,P1T2,P1T2,P1T2,P1T2,P1T2,P1T2,P1T2,P1T2,P1T2,P1T2
labeled-data\3_blink\img53.png,145.0572083702648,220.04337354040615,134.57510886739377,280.46959420401555,18.03882615900423,276.7700296735905,22.97157886623765,251.48967204901925,325.7192762726888,233.6084434852981,331.88521715673056,281.7027823808239
labeled-data\3_blink\img56.png,129.02576207175616,175.64859917530543,144.44061428186063,286.0189409996532,14.955855716983365,285.40234691124897,15.57244980538752,201.54555088828084,356.5489806928976,200.31236271147247,363.3315156653436,274.3036533199738
labeled-data\3_blink\img60.png,143.20742610505226,138.0363597826506,175.27031870206946,278.00321785039887,32.2204901923003,286.0189409996532,22.97157886623765,249.0232956954025,391.0782496435316,229.908878954873,428.6904890361864,284.16915873444066
labeled-data\3_blink\img68.png,138.891267486223,129.40404254499208,174.03713052526115,271.8372769663571,8.173320744537392,290.3350996184824,13.106073451770811,218.81018536359784,389.8450614667232,216.3438090099811,417.59179544491116,284.16915873444066
labeled-data\3_blink\img70.png,147.52358472388147,121.38831939573777,163.5550310223901,281.7027823808239,16.189043893791705,293.4180700605033,3.8571621257081574,240.39097845774404,402.17694323480674,227.4425026012563,424.37433041735716,289.71850553007823
labeled-data\3_blink\img71.png,117.3104743920768,110.28962580446262,149.9899610774982,281.08618829241976,11.256291186558286,292.18488188369497,16.189043893791705,213.87743265636442,414.5088250028903,225.59272033604378,401.56034914640253,284.7857528228448
labeled-data\3_blink\img72.png,129.02576207175616,117.07216077690856,171.5707541716444,283.55256464603644,18.03882615900423,294.65125823731165,19.2720143358126,224.97612624763963,400.94375505799843,219.426779452002,412.6590427376778,288.48531735326986
labeled-data\3_blink\img78.png,134.57510886739377,99.80752630159157,150.60655516590236,284.7857528228448,10.023103009749931,296.5010405025242,15.57244980538752,213.87743265636442,428.0738949477822,226.82590851285215,426.8407067709739,287.8687232648657
labeled-data\3_blink\img82.png,146.29039654707316,98.57433812478325,164.78821919919847,287.2521291764615,15.57244980538752,297.11763459092833,18.03882615900423,210.1778681259393,425.60751859416547,227.4425026012563,422.52454815214463,290.3350996184824
labeled-data\3_blink\img86.png,153.68952560792326,91.1752090639331,176.50350687887783,287.8687232648657,10.023103009749931,305.13335774018265,22.97157886623765,210.79446221434353,427.457300859378,221.27656171721452,433.6232417434198,289.71850553007823
labeled-data\3_blink\img89.png,136.4248911326063,89.32542679872057,166.02140737600683,289.101911441674,38.38643107634209,301.4337932097576,21.73839068942931,226.20931442444794,428.6904890361864,213.2608385679602,463.2197579868203,298.3508227677367
labeled-data\3_blink\img92.png,134.57510886739377,86.85905044510389,140.74104975143553,287.8687232648657,19.2720143358126,296.5010405025242,18.655420247408415,208.3280858607268,419.4415777101237,207.71149177232263,429.3070831245905,292.8014759720991
